SKU;Name;Unit;Category
02-0000056;KR Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml Special Edition For Host;pcs;Finished Product
04-0000009;KR Βιολογικό παλαιωμένο βαλσάμικο ξύδι, bottle 200ml;pcs;Finished Product
02-0000069;Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml-Christmas;pcs;Finished Product
ΕΙΔΗ-00000004;Κρητικά κριτσίνια καρότου, 120gr;pcs;Finished Product
ΕΙΔΗ-00000005;Κρητικά κουλουράκια κανέλας, 120gr;pcs;Finished Product
ΕΙΔΗ-00000006;Κρητικά κουλουράκια μανταρινιού, 120gr;pcs;Finished Product
ΕΙΔΗ-00000007;Κρητικά παξιμαδάκια με γραβιέρα, 60gr;pcs;Finished Product
ΕΙΔΗ-00000008;Κρητικά παξιμαδάκια με ελαιόλαδο και ρίγανη, 60gr;pcs;Finished Product
ΕΙΔΗ-00000009;Κρητικά παξιμαδάκια με λιαστή ντομάτα και κρεμμύδι, 60gr;pcs;Finished Product
ΕΙΔΗ-00000010;Εξαιρετικό παρθένο ελαιόλαδο, can 250ml;pcs;Finished Product
ΕΙΔΗ-00000011;Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml;pcs;Finished Product
ΕΙΔΗ-00000012;Εξαιρετικό παρθένο ελαιόλαδο, can 5ltr;pcs;Finished Product
ΕΙΔΗ-00000013;Εξαιρετικό παρθένο ελαιόλαδο με βασιλικό, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000014;Εξαιρετικό παρθένο ελαιόλαδο με σκόρδο, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000015;Εξαιρετικό παρθένο ελαιόλαδο με πιπεριά τσίλι, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000016;Βιολογικό παλαιωμένο βαλσάμικο ξύδι, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000017;Ξύδι από χυμό εσπεριδοειδών, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000018;Ξύδι από χυμό κόκκινων φρούτων, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000019;US 3pk (Tomato-Graviera-Carrot);pcs;Finished Product
ΕΙΔΗ-00000020;US Κρητικά κριτσίνια καρότου, 120gr;pcs;Finished Product
ΕΙΔΗ-00000021;US Κρητικά κουλουράκια κανέλας, 120gr;pcs;Finished Product
ΕΙΔΗ-00000022;US Κρητικά κουλουράκια μανταρινιού, 120gr;pcs;Finished Product
ΕΙΔΗ-00000023;US Κρητικά παξιμαδάκια με γραβιέρα, 60gr;pcs;Finished Product
ΕΙΔΗ-00000024;US Κρητικά παξιμαδάκια με ελαιόλαδο και ρίγανη, 60gr;pcs;Finished Product
ΕΙΔΗ-00000025;US Κρητικά παξιμαδάκια με λιαστή ντομάτα και κρεμμύδι, 60gr;pcs;Finished Product
ΕΙΔΗ-00000026;US Εξαιρετικό παρθένο ελαιόλαδο, can 250ml;pcs;Finished Product
ΕΙΔΗ-00000027;US Εξαιρετικό παρθένο ελαιόλαδο, bottle 500ml;pcs;Finished Product
ΕΙΔΗ-00000028;US Εξαιρετικό παρθένο ελαιόλαδο, can 5ltr;pcs;Finished Product
ΕΙΔΗ-00000029;US Βιολογικό παλαιωμένο βαλσάμικο ξύδι, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000030;US Εξαιρετικό παρθένο ελαιόλαδο με βασιλικό, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000031;US Εξαιρετικό παρθένο ελαιόλαδο με σκόρδο, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000032;US Εξαιρετικό παρθένο ελαιόλαδο με πιπεριά τσίλι, bottle 200ml;pcs;Finished Product
ΕΙΔΗ-00000033;Δείγματα προϊόντων;pcs;Finished Product
05-0000006;Blank Sketchbook Κόκκινο;pcs;Finished Product
05-0000007;Blank sketchbook Πράσινο;pcs;Finished Product
05-0000008;Blank sketchbook Μπλέ;pcs;Finished Product
05-0000009;Blank sketchbook Πορτοκαλί;pcs;Finished Product
ΕΙΔΗ-00000040;Postcards-set of 8;pcs;Finished Product
05-0000010;Simple stickers;pcs;Finished Product
05-0000011;Eyes transparent sticker;pcs;Finished Product
ΕΙΔΗ-00000046;Yiayia face transparent sticker;pcs;Finished Product
ΕΙΔΗ-00000047;Fragile sticker;pcs;Finished Product
05-0000012;Μαύρη ποδιά με ροζ υφαντό ραφτό S-M;pcs;Finished Product
05-0000013;Μαύρη ποδιά με ροζ υφαντό ραφτό L-XL;pcs;Finished Product
05-0000014;Μαύρη ποδιά με πράσινο υφαντό ραφτό S-M;pcs;Finished Product
05-0000015;Μαύρη ποδιά με πράσινο υφαντό ραφτό L-XL;pcs;Finished Product
05-0000016;Μαύρη ποδιά με μπλέ υφαντό ραφτό S-M;pcs;Finished Product
05-0000017;Μαύρη ποδιά με μπλέ υφαντό ραφτό L-XL;pcs;Finished Product
05-0000018;Κεντημένη ποδιά;pcs;Finished Product
05-0000019;Kεντημένο μαξιλάρι;pcs;Finished Product
ΕΙΔΗ-00000064;Κουτί δώρου;pcs;Finished Product
ΕΙΔΗ-00000065;Βίδες λαχανικών με παντζάρι, καρότο, σπανάκι, 400gr;pcs;Finished Product
ΕΙΔΗ-00000066;Σάλτσα ντομάτας με ρίγανη και θυμάρι, 280gr;pcs;Finished Product
