Κωδικός;Όνομα;ΑΦΜ;Υπόλοιπο;Χώρα;Καθεστώς Φ.Π.Α.;Λογ. Κατηγορία;Όνομα - Επάγγελμα;Χρέωση;Πίστωση;Τζίρος
ΠΕΛΑ-00000345;YIAYIA AND FRIENDS US;93-3371222;271.796,04;United States of America;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;271.796,04;0,00;266.054,50
ΠΕΛΑ-00000457;Somuch Co., Ltd;24490029;214,00;Taiwan;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;44.511,60;44.297,60;44.511,60
ΠΕΛΑ-00000496;FRAPORT ΕΤΑΙΡΕΙΑ ΔΙΑΧΕΙΡΙΣΗΣ ΤΩΝ ΠΕΡΙΦΕΡΕΙΑΚΩΝ ΑΕΡΟΔΡΟΜΙΩΝ ΤΗΣ ΕΛΛΑΔΑΣ ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ;800696885;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;;0,00;0,00;0,00
ΠΕΛΑ-00000658;Lieblingsstück Conceptstore & Onlineshop;328712422;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;589,15;589,15;518,16
ΠΕΛΑ-00000659;Sonnberg pharmacy KG;68268402;0,00;Austria;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;592,27;592,27;490,83
ΠΕΛΑ-00000662;Fonetik CommV;1001072266;602,04;Belgium;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;2.948,51;2.346,47;2.753,20
ΠΕΛΑ-00000666;Alini Fashion&Lifestyle;305181061;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;376,65;376,65;329,85
ΠΕΛΑ-00000667;Marco Simonis;68723615;0,00;Austria;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;370,38;370,38;316,98
ΠΕΛΑ-00000668;Swedish Pepper;559480124201;0,00;Sweden;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;448,36;448,36;391,57
ΠΕΛΑ-00000669;Club Geluk;0778459642;0,00;Belgium;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;731,23;731,23;654,84
ΠΕΛΑ-00000670;Lot Love Our Things;821264229B01;0,00;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;243,10;243,10;200,50
ΠΕΛΑ-00000671;Live-winkel;NL858590311B01;0,00;Netherlands;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;749,19;749,19;659,56
ΠΕΛΑ-00000715;Germaine Collard;0437289163;0,00;Belgium;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;1.818,10;1.818,10;1.524,60
ΠΕΛΑ-00000716;VONUNS GBR;281250903;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;268,40;268,40;237,60
ΠΕΛΑ-00000717;French Blossom;57531381341;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;353,00;353,00;321,00
ΠΕΛΑ-00000729;LMAT;00979006640;64,20;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;419,20;355,00;385,20
ΠΕΛΑ-00000730;abovo;234442199;35,68;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;593,28;557,60;531,60
ΠΕΛΑ-00000732;Speciaalbier cafe De Markies;000000000;0,00;Netherlands;OSS Netherlands;Πελάτες λιανικής OSS;;282,06;282,06;201,60
ΠΕΛΑ-00000733;AniMoh;304521586;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;178,00;178,00;150,00
ΠΕΛΑ-00000734;Pizzapappa;991805524;0,00;Norway;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;265,60;265,60;209,96
ΠΕΛΑ-00000735;Rusticbois;50950310888;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;1.130,80;1.130,80;1.030,80
ΠΕΛΑ-00000745;JANULI;815573800;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;580,46;580,46;503,40
ΠΕΛΑ-00000746;Café La Perrière;53953300332;0,00;France;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;209,00;209,00;177,00
ΠΕΛΑ-00000790;SCHEE GmbH;DE304700744;642,60;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;;642,60;0,00;642,60
ΠΕΛΑ-00000002;ΕΡΓΟΝ ΤΡΟΦΙΜΑ ΑΝΩΝΥΜΗ ΕΤΑΙΡΙΑ;998075983;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000003;THE COOL HUNTER;72143797844;0,00;Australia;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;;0,00;0,00;0,00
ΠΕΛΑ-00000004;Μ. ΣΙΔΕΡΙΔΟΥ - Κ.ΓΡΗΓΟΡΙΑΔΗΣ Ε.Ε.;801045515;0,00;Ελλάδα;Κανονικό Καθεστώς;Πελάτες εσωτερικού;ΕΜΠΟΡΙΟ ΤΡΟΦΙΜΩΝ;0,00;0,00;0,00
ΠΕΛΑ-00000005;LEMONI STORE;273708270;0,00;Germany;Ενδοκοινοτικό;Πελάτες εξωτερικού ΕΕ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
ΠΕΛΑ-00000006;THE CONRAN SHOP;497603508;0,00;Great Britain;Τρίτων Χωρών;Πελάτες εξωτερικού ΤΧ;ΕΜΠΟΡΙΟ;0,00;0,00;0,00
